fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2020,Kent County Public Schools,Sysco Eastern MD,21851,410010.63,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Terraform Power, LLC",10281,32490.9,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,The County Commissioners of Kent County,21620,82195.21,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Top Notch Lawn Care,21640,43660,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Variable Annuity Life,75303,258054,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,VOYA Institutional Trust Co.,10116,29386.35,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Waste Management of Delaware,21046,47862.4,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Wells Fargo Vendor Finance,19176,102554,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,WGL Energy Services,22102,67415.9,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Willow Construction,21601,1099082.14,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Xerox Corporation,19182,98180.64,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,THE WHITING-TURNER CONTRACTING CO,21297,30027474.48,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"SODEXO, INC & AFFILIATES",21601,2243613.03,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,EASTON UTILITIES COMMISSION,21601,874421.31,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,AMERICAN DESIGN ASSOCIATES,21234,808657.78,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"APPLE COMPUTER, INC.",30384-1877,702037,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,GAMETIME,35968,464816.2,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"BCICAPITAL, INC.",32801,416640.26,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,THE BENEDICTINE SCHOOL FOR,21660,376673.53,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,CDW GOVERNMENT,60675-1515,316163.69,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,MANSFIELD OIL COMPANY,75373-3706,303597.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"SPECIALIZED EDUCATION OF MD, INC.",08103-1085,303505.91,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,SOLUTIONS GRANTED,22193,210860.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,CHOPTANK ELECTRIC COOPERATIVE,21629,205858.82,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"NEW DIRECTION SOLUTION, LLC",60055-4430,192960.2,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,APPLE COMPUTER,30384-1877,190268.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"PESSIN KATZ LAW, P.A.",21204,155567.25,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ADVANCED MEDICAL PERSONNEL SVCS INC,30374-5544,155194.15,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,AMAZON,30353-0958,137545.84,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,XEROX CORPORATION,19182-7598,135121.93,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,INDEPENDENT HARDWARE INC,19106-3001,131462.59,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,AMN HEALTHCARE,30384-1939,129372.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,VISA,60197-6818,112434.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,TALBOT COUNTY SHERIFF'S OFFICE,21601,109052.08,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,HEALTHPRO PEDIATRICS LLC,21264-9268,105036.95,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,A. E. MOORE JANITORIAL INC.,19966,103882.59,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"SUNBELT STAFFING, LLC",60055-4430,101500.32,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"AMERICAN TRUCK & BUS, INC.",21401,96679.11,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"H-WIRE TECHNOLOGY SOLUTIONS, LLC",84020,95538.95,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,HEINEMANN,60693,89476.26,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,VERIZON,12212-5124,87099.72,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,OFFICE DEPOT,45263-3301,84736.3,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ASCOT CAPITAL,94010,75480,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,SALISBURY UNIVERSITY,21802,73023,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"BARCO ENTERPRISES, INC",21162,72619.57,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,GREAT MINDS,20003,70037.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,VERIZON WIRELESS,07101-6810,69754.68,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ARK SYSTEMS INC.,21045,69494,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ACCELERATE LEARNING INC.,75373-2464,68720.02,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"TALBOT COUNTY, MARYLAND",21601,68231.68,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,LAKESHORE LEARNING MATERIALS,90895,64472.66,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,M. KATHRYN SEIFERT,21804,63302.64,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ECHO HILL OUTDOOR SCHOOL,21678,60864,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"ASSOCIATED CATHOLIC CHARITIES, INC.",21093,60194.27,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,CENTER FOR LIFELONG LEARNING,07869,59202,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC.",19101-3648,58653.53,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"POWERSCHOOL GROUP, LLC",94139-8408,56731.35,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"THERAPY TRAVELERS, LLC",92809-9998,55742.4,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ADVANCED COMMUNICATIONS,21045,54992.74,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,U.S. BANCORP GOVERNMENT LEASING AND,63195-9067,51593.61,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"CBIZ MHM, LLC",30384-4489,51000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"SEVERIN INTERMEDIATE HOLDINGS, LLC",94139-8408,50854.41,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"KURTZ BROS., INC.",16830-0392,50223.74,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,JEANINE K BRIZENDINE,21012,47049,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"PROJECT LEAD THE WAY, INC",46240,46309.25,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"NAVIGATE360, LLC",44286,45050,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"WGL ENERGY SERVICES, INC.",22102,44518.1,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"LASER LETTERS, INC",21601,44175.24,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,DELMARVA POWER,19101,41649,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,EDOCTRINA CORPORATION,60674-8484,41625,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,REGIONAL INSTITUTE FOR CHILDREN,21229,41478,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,VITECH CONSULTING LLC,21629,41055.07,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"GREEN SITE, LLC",21075,39700,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,THE COLLEGE BOARD PUBLICATIONS,10087-0171,38398,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,B & H PHOTO VIDEO,10087-8072,37824.19,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"FILEWAVE (USA), INC.",46207,36426,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"SUNBELT RENTALS, INC.",30384-9211,36097.15,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,BLAIR E MARTH,21647,35237,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"NOELKER AND HULL ASSOCIATES, INC.",17201,34663.35,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,BELL TECHLOGIX INC,19182-3342,33940.44,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,SIGNATURE PUBLIC FUNDING CORP.,07101-4549,30897.02,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,MCGRAW-HILL GLOBAL EDUCATION LLC,19178-6167,30503.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,CHESAPEAKE COLLEGE,21679,30496.28,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ROBIN H. LANDGRAF,21625,28998.76,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,CAROLINE COUNTY PUBLIC SCHOOLS,21629,28986,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"EDMENTUM, INC",60677-6725,28938,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,EQUAL OPPORTUNITY SCHOOLS,98108,28038.69,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,PAMELA B. CLAY,21647,27787.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"R.E. MICHEL COMPANY, INC.",21203,27331.67,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,BB&T,28258-0060,26546.91,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,CHRISTINE PRIDGEN,21613,26395,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,ANGEL MANAGEMENT INC,21114,26325.37,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"L & S BUS SERVICE, INC.",21617,26123.21,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"AS GREEN AS IT GETS, LLC",21601,25617,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Talbot County Public Schools,"MODULAR ONE INSTALLERS, INC",21224,25000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,PINE HILL LANDSCAPING,21664,122313.36,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,ARK SYSTEMS,21045,782898.66,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,FASTENAL INDUST. & CONST. SUPPLIES,55987-1286,155973.35,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DATA BUSINESS SYSTEMS,23462,48282.1,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"AIM SERVICES, INC.",23321,67255,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHOOL SPECIALTY,60693-0326,42576.32,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES,19101-5047,78186.47,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE,21401,33454,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MID SHORE COMMUNITY MEDIATION,21601,80750,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,REGIONAL TRAINING CENTER,07869,138804,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND DEPT OF JUVENILE SERVICES,21201,37023.52,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"SPECIALIZED EDUCATION SERVICES, INC",08103,764440.96,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,EDUCATION ASSOCIATES,40223,85614,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,JAMES COLLINS,21613,61556.33,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,TINA THOMPSON,21869,30171.95,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,CROPPER AND SON TRANSPORT,21613,117517.34,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,SOLIANT HEALTH,31193-4411,358080.24,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,WILL BROWN'S TRUCK REPAIR,21613,49650.85,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"WGL ENERGY SYSTEMS, INC",22182-2260,40563.8,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCH TRANSPORTATION, LLC",21643,102537.29,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MOTOROLA,60693,139593.49,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MSEA,21401,309295.63,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,COKESBURY TRANSPORTATION LLC,21659,332259.9,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,UNIVERSITY OF PHOENIX,85072,55551.4,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,FOLLETT SCHOOL SOLUTIONS,60693-0918,36772.49,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"PROJECT LEAD THE WAY, INC.",46240,50775.4,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTHBAY,21901,26075,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DATA NETWORKS INC.,21275-9450,1004620,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"NAVIANCE, INC.",63150-4571,27922.25,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,PIVOT PHYSICAL THERAPY,21286,40000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND COALITIION OF FAMILIES,21044,37967.45,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER COUNTY HEALTH DEPARTMENT,21613,740543,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN READING COMPANY,19406,617748,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"CIT BANK, N.A.",60673-1211,44797.59,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES,22102,491143.2,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"DATA MANAGEMENT, INC.",76904,36833.52,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,THE HARBOUR SCHOOL,21122,78809.04,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"FOR ALL SEASONS, INC.",21601,33250,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,WASTE MANAGEMENT,40290-1054,39455.36,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,HOUGHTON MIFFLIN CO.,60693,65688.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DEMBYS TRANSPORTATION,21613,120236.09,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCHAUBER, INC.",21613,59729.15,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DIANA L MITCHELL,20774,50000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND UNEMPLOYMENT INSURANCE FUN,21203-0084,26539.71,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,BRIGHTSTAR CARE,21114,49722.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,STANDARD LIFE INSURANCE COMPANY,97208-6367,110594.35,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,BANC OF AMERICA LEASING,30384-0918,340132.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN FIDELITY ASSURANCE CO,64121-9326,219644,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,AMERICAN FIDELITY ASSURANCE,73126-8805,489477.65,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"R. E. MICHEL COMPANY, INC.",21203,32416.13,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,EQUAL OPPORTUNITY SCHOOLS,98109,44629.32,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DORI FOODS,23230,768815.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,K12 INSIGHT LLC,20171,30007.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,SITE ONE LANDSCAPE SUPPY,60673-1241,32164.99,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"ENOME, INC.",94401,107100,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,BEARCOM,75267-0354,25143.03,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"LABOR FIRST, LLC",08054,1549087.77,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREMENT AGENCY,21202-1600,116848.2,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,AVID CENTER,92123,36528,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"AGILE MIND EDUCATION HOLDINGS, INC",76051,78850,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,KENJYA TRUSANT GROUP,21045,46457.36,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,LIFE FITNESS,60018,67340.26,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,EMMAJANE OLINDE,21826,31000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,REPUBLIC SERVICES #425,40290,76682.54,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"BEST MAN COMPANY, LLC",80773,36500,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,RIVERSIDE ASSESSMENTS LLC,60143,34065,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,GO CAMPUSING INC.,11732,36754,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,CAMBRIDGE-SOUTH DORCHESTER HIGH SCH,21613,64614.68,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTH DORCHESTER HIGH SCHOOL,21643,65754.05,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER CAREER & TECH CENTER,21613,78819.01,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"ARCADIA SOLAR, LLC",55126,47674.76,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,SIMMONS CENTER MARKET,21613,81689.29,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,19182-7598,294334.96,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREMENT SYSTEMS,21202,1899931,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,CAREFIRST BLUE CROSS BLUE SHIELD,19178-9747,8118761.76,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,MUNICIPAL UTILITIES COMMISSION,21613,52408.8,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,CHOPTANK ELECTRIC COOPERATIVE,21629,31034,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,AERO ENERGY -(WISE OIL & FUEL),17350,163018.01,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON,12212-5124,40588.16,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,COPY SHOPPE,21613,80716.37,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,CLOVERLAND/GREEN SPRING DAIRY,02241-8952,97976.15,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,GAME TIME C/C CUNNINGHAM RECREATION,21658,560969.6,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO. PUBLIC SCHOOLS,21601,485219,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,TGM GROUP  LLC,21804,45700,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,STAPLES ADVANTAGE,19176-0242,192531.46,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2020,DORCHESTER COUNTY PUBLIC SCHOOLS,"SHORE DISTRIBUTORS, INC.",21802,27291.15,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
